School Name,State,Region,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
Bowling Green State University,OH,Midwestern,"$39,800.00 ","$72,100.00 ","$38,200.00 ","$51,800.00 ","$101,000.00 ","$146,000.00 "
Bradley University,IL,Midwestern,"$47,000.00 ","$87,300.00 ","$45,900.00 ","$64,900.00 ","$113,000.00 ","$151,000.00 "
Brigham Young University ,ID,Western,"$49,400.00 ","$88,600.00 ","$50,600.00 ","$68,500.00 ","$119,000.00 ","$164,000.00 "
Brown University,RI,Northeastern,"$56,200.00 ","$109,000.00 ","$55,400.00 ","$74,400.00 ","$159,000.00 ","$228,000.00 "
Bucknell University,PA,Northeastern,"$54,100.00 ","$110,000.00 ","$62,800.00 ","$80,600.00 ","$156,000.00 ","$251,000.00 "
Cal Poly San Luis Obispo,CA,California,"$57,200.00 ","$101,000.00 ","$55,000.00 ","$74,700.00 ","$133,000.00 ","$178,000.00 "
California Institute of Technology,CA,California,"$75,500.00 ","$123,000.00 ",N/A,"$104,000.00 ","$161,000.00 ",N/A
California State University-Chico,CA,California,"$47,400.00 ","$88,100.00 ","$46,800.00 ","$62,800.00 ","$122,000.00 ","$154,000.00 "
California State University-Stanislaus,CA,California,"$38,000.00 ","$71,400.00 ",N/A,"$50,500.00 ","$94,100.00 ",N/A
California State University-Dominguez Hills ,CA,California,"$42,700.00 ","$72,100.00 ","$30,800.00 ","$47,000.00 ","$92,200.00 ","$132,000.00 "
California State University-East Bay ,CA,California,"$49,200.00 ","$84,300.00 ","$46,000.00 ","$62,400.00 ","$115,000.00 ","$155,000.00 "
California State University-Fullerton ,CA,California,"$45,700.00 ","$87,000.00 ","$45,400.00 ","$62,500.00 ","$119,000.00 ","$158,000.00 "
California State University-Long Beach ,CA,California,"$45,100.00 ","$84,700.00 ","$47,400.00 ","$62,500.00 ","$113,000.00 ","$154,000.00 "
California State University-Northridge ,CA,California,"$45,500.00 ","$80,400.00 ","$44,500.00 ","$57,800.00 ","$108,000.00 ","$153,000.00 "
California State University-Sacramento ,CA,California,"$47,800.00 ","$82,400.00 ","$42,900.00 ","$59,600.00 ","$111,000.00 ","$154,000.00 "
Carleton College,MN,Midwestern,"$47,500.00 ","$103,000.00 ",N/A,"$69,400.00 ","$141,000.00 ",N/A
Carnegie Mellon University,PA,Northeastern,"$61,800.00 ","$111,000.00 ","$63,300.00 ","$80,100.00 ","$150,000.00 ","$209,000.00 "
