Rank,Major,Degree Type,Early Career Pay,Mid Career Pay
274 (tie),International Studies,Bachelor's,"$43,500 ","$73,100 "
274 (tie),Multimedia & Web Design,Bachelor's,"$43,800 ","$73,100 "
276 (tie),Architectural Technology,Bachelor's,"$44,800 ","$73,000 "
276 (tie),Bachelor of Science in Nursing,Bachelor's,"$56,700 ","$73,000 "
276 (tie),Public Relations & Communication,Bachelor's,"$40,600 ","$73,000 "
279 (tie),German Language & Literature,Bachelor's,"$44,100 ","$72,900 "
279 (tie),Natural Sciences,Bachelor's,"$43,300 ","$72,900 "
281,Speech Communication,Bachelor's,"$42,100 ","$72,800 "
282,Geography,Bachelor's,"$43,600 ","$72,700 "
283,Communication Studies & Journalism,Bachelor's,"$40,500 ","$72,400 "
284 (tie),History & Political Science,Bachelor's,"$44,100 ","$72,300 "
284 (tie),Urban Planning,Bachelor's,"$46,300 ","$72,300 "
286 (tie),Automotive Technology,Bachelor's,"$46,300 ","$72,200 "
286 (tie),Law,Bachelor's,"$50,700 ","$72,200 "
288 (tie),"Film, Video & Media Studies",Bachelor's,"$40,100 ","$72,000 "
288 (tie),Forestry,Bachelor's,"$41,400 ","$72,000 "
290 (tie),Cultural Anthropology,Bachelor's,"$42,400 ","$71,900 "
290 (tie),Forestry Management,Bachelor's,"$41,800 ","$71,900 "
290 (tie),French Studies,Bachelor's,"$44,300 ","$71,900 "
293,Allied Health,Bachelor's,"$40,100 ","$71,800 "
294 (tie),Computer Networking Systems,Bachelor's,"$48,500 ","$71,700 "
294 (tie),Environmental Biology,Bachelor's,"$40,000 ","$71,700 "
296,Human Resources Management (HRM),Bachelor's,"$42,700 ","$71,600 "
297 (tie),Business Management & Administration,Bachelor's,"$46,000 ","$71,500 "
297 (tie),Political Science & Philosophy,Bachelor's,"$42,000 ","$71,500 "
299,Organizational Leadership & Supervision,Bachelor's,"$46,800 ","$71,400 "
300 (tie),Acting,Bachelor's,"$35,600 ","$71,300 "
300 (tie),English Language & Literature,Bachelor's,"$40,700 ","$71,300 "
300 (tie),Sports Medicine,Bachelor's,"$42,000 ","$71,300 "
303 (tie),Interpersonal Communications,Bachelor's,"$40,400 ","$71,200 "
303 (tie),Nuclear Medicine Technology,Bachelor's,"$55,200 ","$71,200 "
303 (tie),Organizational Communication,Bachelor's,"$41,100 ","$71,200 "
306,Computer Aided Drafting & Design (CADD),Bachelor's,"$44,900 ","$71,000 "
307 (tie),Agricultural Business,Bachelor's,"$47,500 ","$70,900 "
307 (tie),Radiologic Science,Bachelor's,"$50,500 ","$70,900 "
